c_sh,cutoff_id,cutoff_index,training_end_date,forecast_week,date,reference_cases,history_conditioning_enabled,history_weeks,recent_transmission_multiplier,history_conditioning_objective,history_conditioning_optimizer_success,anchor_exposed_per_case,anchor_infectious_per_case,origin_exposed_total,origin_infectious_total,origin_sick_total,observed_cases,fitted_expected_cases,p10_cases,median_cases,p90_cases,training_windows,global_fit_training_windows,global_parameters_refitted_each_cutoff,training_objective,outbreak_threshold,observed_six_week_event,predicted_six_week_event_probability,event_brier_score,persistence_event_probability,persistence_event_brier_score
0.1,5,108,2026-01-19,5,2026-02-23,17.0,True,4,1.0807733747143697,0.4867565775901368,True,9.772932960361302,4.016285402033932e-05,29.445142933976854,5.115813165234713,14.046858366570024,15.0,9.546883823149166,5.0,9.0,13.0,102,0,False,,10.0,True,0.95,0.0025000000000000044,1.0,0.0
0.1,5,108,2026-01-19,6,2026-03-02,17.0,True,4,1.0807733747143697,0.4867565775901368,True,9.772932960361302,4.016285402033932e-05,29.445142933976854,5.115813165234713,14.046858366570024,18.0,9.393529590351193,6.0,9.0,13.0,102,0,False,,10.0,True,0.95,0.0025000000000000044,1.0,0.0
0.2,0,60,2025-02-17,1,2025-02-24,5.0,True,4,1.0535395612389786,0.20032784590181107,True,6.888623363467494,1.078571404163717,10.420622214995985,1.7714905645323418,4.883878081111484,4.0,4.05637759002798,1.0,4.0,7.0,54,0,False,,10.0,False,0.04,0.0016,0.0,0.0
0.2,0,60,2025-02-17,2,2025-03-03,5.0,True,4,1.0535395612389786,0.20032784590181107,True,6.888623363467494,1.078571404163717,10.420622214995985,1.7714905645323418,4.883878081111484,6.0,3.9583621703828022,1.0,3.5,7.0,54,0,False,,10.0,False,0.04,0.0016,0.0,0.0
0.2,0,60,2025-02-17,3,2025-03-10,5.0,True,4,1.0535395612389786,0.20032784590181107,True,6.888623363467494,1.078571404163717,10.420622214995985,1.7714905645323418,4.883878081111484,8.0,3.9233705190621055,2.0,4.0,6.1000000000000085,54,0,False,,10.0,False,0.04,0.0016,0.0,0.0
0.2,0,60,2025-02-17,4,2025-03-17,5.0,True,4,1.0535395612389786,0.20032784590181107,True,6.888623363467494,1.078571404163717,10.420622214995985,1.7714905645323418,4.883878081111484,10.0,3.932683201826529,1.9000000000000004,3.0,6.0,54,0,False,,10.0,False,0.04,0.0016,0.0,0.0
0.2,0,60,2025-02-17,5,2025-03-24,5.0,True,4,1.0535395612389786,0.20032784590181107,True,6.888623363467494,1.078571404163717,10.420622214995985,1.7714905645323418,4.883878081111484,6.0,3.9749080146573395,1.0,4.0,7.0,54,0,False,,10.0,False,0.04,0.0016,0.0,0.0
0.2,0,60,2025-02-17,6,2025-03-31,5.0,True,4,1.0535395612389786,0.20032784590181107,True,6.888623363467494,1.078571404163717,10.420622214995985,1.7714905645323418,4.883878081111484,10.0,4.042371828835019,1.0,3.0,6.1000000000000085,54,0,False,,10.0,False,0.04,0.0016,0.0,0.0
0.2,1,66,2025-03-31,1,2025-04-07,10.0,True,4,1.033336474285409,0.19991490241738605,True,3.841461105507163,0.41516787020552365,21.008106923095397,3.628890160091646,10.454902692733178,12.0,8.158973417328603,5.0,8.0,12.0,60,0,False,,10.0,True,0.61,0.1521,0.0,1.0
0.2,1,66,2025-03-31,2,2025-04-14,10.0,True,4,1.033336474285409,0.19991490241738605,True,3.841461105507163,0.41516787020552365,21.008106923095397,3.628890160091646,10.454902692733178,18.0,7.668452225590049,4.0,8.0,11.0,60,0,False,,10.0,True,0.61,0.1521,0.0,1.0
